case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
540049105,2018-01-20,7.00,49.35,126,8743
531319583,2018-01-11,5.00,48.31,14,7625
541726511,2018-01-21,59.21,27.42,4,7625
538652760,2018-01-18,69.99,43.27,,2000240
541824520,2018-01-21,6.00,39.74,4,7625
531318407,2018-01-11,80.40,24.77,2,7625
548899672,2018-01-29,3.00,49.21,640,8743
521970054,2018-01-01,39.61,33.17,,848
540882659,2018-01-20,37.44,26.52,2,7625
903949565,2018-01-28,1969.99,49.95,,2007014
544891625,2018-01-25,28.95,25.21,45,7625
526600526,2018-01-06,8.00,45.27,18,8743
542831100,2018-01-23,30.00,29.99,1,7625
541722682,2018-01-21,6.00,46.91,46,8743
534909702,2018-01-14,19.99,35.08,57116,12952
531537423,2018-01-11,4.00,48.35,34,7625
533997315,2018-01-13,14.45,46.24,973,14731
541776881,2018-01-21,9.00,48.81,6,8743
531001321,2018-01-10,82.72,40.92,,2001439
534300265,2018-01-14,12.00,45.64,46,8743
894679129,2018-01-14,2299.99,22.48,,2007674
526256674,2018-01-06,88.00,28.81,5,7625
548589827,2018-01-29,12.00,43.36,11,8743
536215679,2018-01-16,2.00,26.64,7,7625
534531245,2018-01-14,53.20,28.31,17,7625
523701859,2018-01-03,7.00,43.98,72,8743
545674778,2018-01-26,12.00,45.42,7,8743
543591581,2018-01-23,9.00,49.08,16,8743
545871231,2018-01-26,45.00,28.92,1,7625
531325716,2018-01-11,2.00,47.43,55,7625
547217436,2018-01-27,9.00,48.30,303,8743
523758875,2018-01-03,8.45,28.16,3,7625
549019094,2018-01-29,12.00,48.80,68,8743
548900022,2018-01-29,52.00,24.81,1,7625
522440073,2018-01-02,2.00,45.17,7,7625
903126581,2018-01-25,1059.98,49.85,,2007014
531701644,2018-01-11,2.00,28.24,10,7625
547282888,2018-01-27,4.00,27.88,6,7625
526546832,2018-01-06,331.16,49.05,1,2001715
549155125,2018-01-29,2226.48,42.82,,155
531531345,2018-01-11,5.44,46.13,5,7625
530570068,2018-01-10,6.65,28.37,2,7625
533984198,2018-01-13,7.60,29.47,4,7625
535983146,2018-01-15,12.00,24.97,1,7625
548592898,2018-01-29,90.00,44.52,11,7625
526439626,2018-01-06,2.50,28.29,5,7625
544916213,2018-01-25,2.00,30.90,12404,2209
533298751,2018-01-13,10.00,44.62,10633,8743
534166757,2018-01-14,24.00,48.77,21,7625
522122490,2018-01-01,11.00,47.01,474,8743
531463185,2018-01-11,10.00,47.27,9,8743
543841336,2018-01-24,5.00,49.47,249,8743
544694190,2018-01-25,7.00,47.74,52,8743
535478872,2018-01-15,40.91,26.77,1,7625
540502602,2018-01-20,17.50,26.72,5,7625
541864109,2018-01-22,3.60,24.19,6,7625
541926763,2018-01-22,8.00,46.62,8,8743
538926578,2018-01-18,5.00,38.23,32,7625
530080083,2018-01-09,2.00,27.31,10,7625
541906598,2018-01-22,1.25,27.94,1,7625
533305174,2018-01-13,9.00,45.72,50,8743
540493756,2018-01-20,11.89,25.52,3,7625
537417550,2018-01-17,7.53,27.44,107,7625
539277086,2018-01-19,16.00,47.51,19,8743
541671062,2018-01-21,2.00,29.83,11,7625
534902666,2018-01-14,9.00,47.52,8,8743
547211661,2018-01-27,4.00,47.44,69,8743
531989149,2018-01-11,9.00,49.58,31,8743
543865600,2018-01-24,16.11,48.93,12,7625
528577621,2018-01-08,3.00,44.39,242,7625
541709039,2018-01-21,3.39,28.84,4,7625
534169369,2018-01-14,2.00,29.69,4,7625
541869433,2018-01-22,28.17,21.62,8,7625
525820372,2018-01-05,82.00,64.76,3,7625
538380451,2018-01-18,15.33,65.59,5,7625
543604342,2018-01-23,86.71,71.56,2,7625
530564434,2018-01-10,4.00,58.06,2,7625
523676768,2018-01-03,6.37,86.94,1,7625
533186845,2018-01-13,3.96,52.61,1,7625
537161890,2018-01-17,2.00,99.95,9,7625
543695254,2018-01-24,4.00,71.09,2,7625
541904368,2018-01-22,8.00,74.78,4,7625
522125526,2018-01-01,17.00,83.05,1,7625
544894415,2018-01-25,4.13,94.86,5,7625
541016416,2018-01-21,5.42,93.57,2,7625
538211759,2018-01-18,15.45,94.86,2,7625
527020735,2018-01-06,4.06,61.04,2,7625
524409270,2018-01-04,13.23,71.81,1,7625
531646721,2018-01-11,13.54,98.91,81,7625
537003301,2018-01-17,2.00,67.94,6,7625
524971074,2018-01-04,127.00,56.26,1,7625
521601244,2018-01-01,1.36,68.40,622,12650
531692510,2018-01-11,49.23,92.11,1,3573
527906174,2018-01-07,4.00,55.03,3,7625
540812147,2018-01-20,1.00,54.62,1,7625
543922617,2018-01-24,83.73,84.23,3,7625
544432646,2018-01-24,26.00,96.73,1,7625
543865270,2018-01-24,8.48,80.01,2,7625
530775878,2018-01-10,1353.38,72.03,,4437
535326470,2018-01-15,8.44,70.47,11,7625
